catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0049;;348662;6284220;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0050;;348660;6284215;Magnoliopsida;Fabales;Fabaceae;Acacia;dealbata;;Link;;;Acacia dealbata Link;ACCEPTED;Viva;Exotica;2019;;;
AA0051;;348660;6284211;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0052;;348661;6284205;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0053;;348664;6284207;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0054;;348659;6284200;Magnoliopsida;Fabales;Fabaceae;Acacia;dealbata;;Link;;;Acacia dealbata Link;ACCEPTED;Viva;Exotica;2019;;;
AA0055;;348658;6284192;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0056;;348654;6284188;Magnoliopsida;Myrtales;Myrtaceae;Eucalyptus;globulus;;Labill.;;;Eucalyptus globulus Labill.;ACCEPTED;Extraido;Exotica;2019;;;
AA0057;;348654;6284192;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0058;;348649;6284189;Magnoliopsida;Myrtales;Myrtaceae;Eucalyptus;globulus;;Labill.;;;Eucalyptus globulus Labill.;ACCEPTED;Extraido;Exotica;2019;;;
AA0059;;348650;6284193;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0060;;348645;6284194;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0061;;348642;6284194;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0062;;348645;6284190;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0063;;348642;6284190;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0064;;348638;6284195;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0065;;348635;6284195;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0066;;348634;6284191;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0067;;348630;6284192;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0068;;348630;6284196;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0069;;348626;6284197;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0070;;348626;6284193;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0071;;348619;6284193;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0072;;348621;6284197;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0073;;348618;6284198;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0074;;348614;6284194;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0075;;348616;6284198;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0076;;348612;6284198;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0077;;348610;6284195;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0078;;348605;6284196;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0079;;348609;6284199;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0080;;348605;6284200;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0081;;348601;6284200;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0082;;348600;6284196;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0083;;348595;6284197;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0084;;348596;6284201;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0085;;348592;6284202;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0086;;348591;6284198;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0087;;348585;6284199;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0088;;348585;6284202;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0089;;348581;6284203;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0090;;348580;6284199;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0091;;348576;6284199;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0092;;348576;6284203;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0093;;348617;6284209;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0094;;348622;6284208;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0095;;348643;6284209;Magnoliopsida;Fagales;Casuarinaceae;Casuarina;equisetifolia;;L.;;;Casuarina equisetifolia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0096;;348650;6284206;Magnoliopsida;Fagales;Casuarinaceae;Casuarina;equisetifolia;;L.;;;Casuarina equisetifolia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0097;;348653;6284204;Magnoliopsida;Fagales;Casuarinaceae;Casuarina;equisetifolia;;L.;;;Casuarina equisetifolia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0098;;348644;6284217;Magnoliopsida;Sapindales;Sapindaceae;Acer;negundo;;L.;;;Acer negundo L.;ACCEPTED;Viva;Exotica;2019;;;
AA0099;;348635;6284222;Liliopsida;Asparagales;Asparagaceae;Agave;americana;;L.;;;Agave americana L.;ACCEPTED;Viva;Exotica;2019;;;
AA0100;;348636;6284213;Magnoliopsida;Fabales;Fabaceae;Acacia;dealbata;;Link;;;Acacia dealbata Link;ACCEPTED;Viva;Exotica;2019;;;
AA0101;;348626;6284212;Magnoliopsida;Lamiales;Bignoniaceae;Jacaranda;mimosifolia;;D.Don;;;Jacaranda mimosifolia D.Don;ACCEPTED;Viva;Exotica;2019;;;
AA0102;;348617;6284214;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0103;;348618;6284220;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
