catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0792;;348285;6284441;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;;;
AA0793;;348287;6284446;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0794;;348299;6284423;Magnoliopsida;Lamiales;Bignoniaceae;Jacaranda;mimosifolia;;D.Don;;;Jacaranda mimosifolia D.Don;ACCEPTED;Viva;Exotica;2019;;;
AA0795;;348303;6284422;Magnoliopsida;Fagales;Fagaceae;Quercus;nigra;;L.;;;Quercus nigra L.;ACCEPTED;Viva;Exotica;2019;;;
AA0796;;348307;6284422;Magnoliopsida;Lamiales;Bignoniaceae;Jacaranda;mimosifolia;;D.Don;;;Jacaranda mimosifolia D.Don;ACCEPTED;Viva;Exotica;2019;;;
AA0797;;348312;6284421;Magnoliopsida;Fagales;Fagaceae;Quercus;nigra;;L.;;;Quercus nigra L.;ACCEPTED;Viva;Exotica;2019;;;
AA0798;;348315;6284421;Magnoliopsida;Lamiales;Bignoniaceae;Jacaranda;mimosifolia;;D.Don;;;Jacaranda mimosifolia D.Don;ACCEPTED;Viva;Exotica;2019;;;
AA0799;;348332;6284418;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0800;;348340;6284417;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0801;;348349;6284415;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0802;;348351;6284415;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0803;;348353;6284415;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0804;;348360;6284419;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0805;;348365;6284419;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0806;;348371;6284418;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0807;;348376;6284418;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0808;;348382;6284417;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0809;;348387;6284416;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0810;;348392;6284416;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0811;;348404;6284414;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0812;;348409;6284413;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0813;;348414;6284413;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0814;;348420;6284412;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0815;;348425;6284412;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0816;;348429;6284411;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0817;;348434;6284410;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0818;;348440;6284409;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0819;;348445;6284409;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0820;;348450;6284408;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0821;;348457;6284406;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0822;;348461;6284406;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0823;;348466;6284405;Magnoliopsida;Rosales;Rosaceae;Pyrus;;;L.;;;Pyrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0824;;348468;6284402;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0825;;348463;6284403;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0826;;348460;6284403;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0827;;348456;6284404;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0828;;348451;6284405;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0829;;348447;6284405;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0830;;348442;6284405;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0831;;348437;6284406;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0832;;348430;6284407;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0833;;348424;6284408;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0834;;348419;6284409;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0835;;348413;6284409;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0836;;348409;6284410;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0837;;348405;6284410;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0838;;348400;6284411;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0839;;348395;6284411;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0840;;348390;6284412;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0841;;348385;6284412;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0842;;348380;6284413;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0843;;348374;6284413;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0844;;348370;6284413;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0845;;348365;6284414;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0846;;348361;6284415;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0847;;348458;6284491;Magnoliopsida;Fagales;Fagaceae;Quercus;nigra;;L.;;;Quercus nigra L.;ACCEPTED;Viva;Exotica;2019;;;
AA0848;;348460;6284489;Magnoliopsida;Fagales;Fagaceae;Quercus;nigra;;L.;;;Quercus nigra L.;ACCEPTED;Viva;Exotica;2019;;;
AA0849;;348462;6284485;Magnoliopsida;Sapindales;Sapindaceae;Acer;japonicum;;C.P.Thunberg ex A.Murray;;;Acer japonicum C.P.Thunberg ex A.Murray;ACCEPTED;Viva;Exotica;2019;2016;;
AA0850;;348439;6284478;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;2016;;
AA0851;;348432;6284479;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;2016;;
AA0852;;348471;6284499;Magnoliopsida;Rosales;Rosaceae;Prunus;persica;;Stokes;;;Prunus persica Stokes;ACCEPTED;Viva;Exotica;2019;;;
AA0853;;348475;6284493;Magnoliopsida;Rosales;Rosaceae;Prunus;dulcis;;D.A.Webb;;;Prunus dulcis (Mill.) D.A.Webb;ACCEPTED;Viva;Exotica;2019;;;
AA0854;;348471;6284500;Magnoliopsida;Rosales;Rosaceae;Prunus;domestica;;L.;;;Prunus domestica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0855;;348469;6284507;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasus;;L.;;;Prunus cerasus L.;SYNONYM;Viva;Exotica;2019;;;
AA0856;;348466;6284505;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasus;;L.;;;Prunus cerasus L.;SYNONYM;Viva;Exotica;2019;;;
AA0857;;348470;6284510;Magnoliopsida;Rosales;Rosaceae;Prunus;dulcis;;D.A.Webb;;;Prunus dulcis (Mill.) D.A.Webb;ACCEPTED;Viva;Exotica;2019;;;
AA0858;;348475;6284515;Magnoliopsida;Rosales;Rosaceae;Cydonia;oblonga;;Mill.;;;Cydonia oblonga Mill.;ACCEPTED;Viva;Exotica;2019;2015;;
AA0859;;348475;6284514;Magnoliopsida;Sapindales;Rutaceae;Citrus;sinensis;;Pers.;;;Citrus sinensis (Mill.) Pers., 1806;SYNONYM;Viva;Exotica;2019;2015;;
AA0860;;348473;6284521;Magnoliopsida;Laurales;Lauraceae;Persea;americana;;Mill.;;;Persea americana Mill.;ACCEPTED;Viva;Exotica;2019;2016;;
AA0861;;348470;6284525;Magnoliopsida;Magnoliales;Annonaceae;Annona;cherimola;;Miller;;;Annona cherimola Miller;ACCEPTED;Viva;Exotica;2019;2016;;
AA0862;;348472;6284542;Magnoliopsida;Magnoliales;Annonaceae;Annona;cherimola;;Miller;;;Annona cherimola Miller;ACCEPTED;Viva;Exotica;2019;2016;;
AA0863;;348471;6284542;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0864;;348626;6284459;Magnoliopsida;Rosales;Rosaceae;Prunus;salicifolia;;Kunth;;;Prunus salicifolia Kunth;SYNONYM;Viva;Exotica;2019;;;
AA0865;;348626;6284457;Magnoliopsida;Apiales;Pittosporaceae;Pittosporum;nigricans;;hort. ex McMinn & Maino;;;Pittosporum nigricans hort. ex McMinn & Maino;SYNONYM;Viva;Exotica;2019;2016;;
AA0866;;348626;6284454;Magnoliopsida;Lamiales;Lamiaceae;Rosmarinus;officinalis;;de Noë ex Lange;;;Rosmarinus officinalis de Noë ex Lange;ACCEPTED;Viva;Exotica;2019;;;
AA0867;;348627;6284453;Magnoliopsida;Rosales;Rosaceae;Prunus;salicifolia;;Kunth;;;Prunus salicifolia Kunth;SYNONYM;Viva;Exotica;2019;;;
AA0868;;348628;6284450;Magnoliopsida;Fabales;Fabaceae;Bauhinia;forficata;;Link;;;Bauhinia forficata Link;ACCEPTED;Viva;Exotica;2019;2016;;
AA0869;;348628;6284448;Magnoliopsida;Lamiales;Oleaceae;Syringa;vulgaris;;L.;;;Syringa vulgaris L.;ACCEPTED;Viva;Exotica;2019;;;
AA0870;;348629;6284446;Magnoliopsida;Sapindales;Rutaceae;Casimiroa;edulis;;La Llave;;;Casimiroa edulis La Llave;ACCEPTED;Viva;Exotica;2019;2016;;
AA0871;;348630;6284444;Magnoliopsida;Lamiales;Lamiaceae;Rosmarinus;officinalis;;de Noë ex Lange;;;Rosmarinus officinalis de Noë ex Lange;ACCEPTED;Viva;Exotica;2019;;;
AA0872;;348549;6284572;Magnoliopsida;Proteales;Platanaceae;Platanus;orientalis;;L.;;;Platanus orientalis L.;ACCEPTED;Viva;Exotica;2019;;;
AA0873;;348557;6284571;Magnoliopsida;Proteales;Platanaceae;Platanus;orientalis;;L.;;;Platanus orientalis L.;ACCEPTED;Viva;Exotica;2019;;;
AA0874;;348566;6284571;Magnoliopsida;Proteales;Platanaceae;Platanus;orientalis;;L.;;;Platanus orientalis L.;ACCEPTED;Viva;Exotica;2019;;;
AA0875;;348574;6284571;Magnoliopsida;Proteales;Platanaceae;Platanus;orientalis;;L.;;;Platanus orientalis L.;ACCEPTED;Viva;Exotica;2019;;;
AA0876;;348598;6284584;Magnoliopsida;Rosales;Moraceae;Ficus;carica;;L.;;;Ficus carica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0877;;348621;6284587;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0878;;348614;6284600;Magnoliopsida;Rosales;Moraceae;Morus;alba;;L.;;;Morus alba L.;ACCEPTED;Viva;Exotica;2019;;;
AA0879;;348637;6284594;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0880;;348648;6284605;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0881;;348648;6284608;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0882;;348647;6284612;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0883;;348646;6284616;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0884;;348645;6284620;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0885;;348645;6284624;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0886;;348644;6284628;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0887;;348643;6284632;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0888;;348643;6284636;Liliopsida;Arecales;Arecaceae;Phoenix;canariensis;;H.Wildpret;;;Phoenix canariensis H.Wildpret;ACCEPTED;Viva;Exotica;2019;;;
AA0889;;348635;6284615;Magnoliopsida;Fabales;Fabaceae;Parkinsonia;aculeata;;L.;;;Parkinsonia aculeata L.;ACCEPTED;Viva;Exotica;2019;;;
AA0890;;348635;6284629;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0891;;348603;6284621;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0892;;348597;6284612;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0893;;348601;6284595;Liliopsida;Arecales;Arecaceae;Trachycarpus;fortunei;;H.Wendl.;;;Trachycarpus fortunei H.Wendl.;ACCEPTED;Viva;Exotica;2019;;;
AA0894;;348590;6284596;Magnoliopsida;Rosales;Moraceae;Ficus;carica;;L.;;;Ficus carica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0895;;348579;6284588;Magnoliopsida;Myrtales;Myrtaceae;Callistemon;linearifolius;;DC.;;;Callistemon linearifolius DC.;ACCEPTED;Viva;Exotica;2019;;;
AA0896;;348580;6284602;Magnoliopsida;Myrtales;Myrtaceae;Callistemon;linearifolius;;DC.;;;Callistemon linearifolius DC.;ACCEPTED;Viva;Exotica;2019;;;
AA0897;;348580;6284605;Magnoliopsida;Myrtales;Myrtaceae;Callistemon;linearifolius;;DC.;;;Callistemon linearifolius DC.;ACCEPTED;Viva;Exotica;2019;;;
AA0898;;348591;6284627;Magnoliopsida;Lamiales;Oleaceae;Olea;europaea;;L.;;;Olea europaea L.;ACCEPTED;Viva;Exotica;2019;;;
AA0899;;348580;6284636;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0900;;348576;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0901;;348571;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0902;;348567;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0903;;348562;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0904;;348558;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0905;;348553;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0906;;348548;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0907;;348544;6284637;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0908;;348559;6284617;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0909;;348559;6284615;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0910;;348559;6284612;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0911;;348558;6284609;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0912;;348558;6284607;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0913;;348558;6284604;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0914;;348558;6284601;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0915;;348558;6284599;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0916;;348558;6284596;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0917;;348558;6284593;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0918;;348558;6284591;Magnoliopsida;Fabales;Fabaceae;Senna;candolleana;;H.S.Irwin & Barneby;;;Senna candolleana (Vogel) H.S.Irwin & Barneby;ACCEPTED;Viva;Nativa;2019;;;
AA0919;;348540;6284582;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0920;;348540;6284586;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0921;;348540;6284589;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0922;;348540;6284592;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0923;;348541;6284595;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0924;;348540;6284598;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0925;;348541;6284602;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0926;;348541;6284605;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0927;;348541;6284608;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0928;;348541;6284611;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0929;;348541;6284617;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0930;;348541;6284623;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0931;;348541;6284627;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0932;;348541;6284630;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0933;;348541;6284633;Magnoliopsida;Malpighiales;Salicaceae;Populus;;;L.;;;Populus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0934;;348531;6284583;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0935;;348535;6284583;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0936;;348610;6284613;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasifera;;Ehrh.;;;Prunus cerasifera Ehrh.;ACCEPTED;Viva;Exotica;2019;;;
AA0937;;348579;6284591;Magnoliopsida;Fabales;Fabaceae;Senna;candolleana;;H.S.Irwin & Barneby;;;Senna candolleana (Vogel) H.S.Irwin & Barneby;ACCEPTED;Viva;Nativa;2019;;;
AA0938;;348579;6284597;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0939;;348580;6284609;Magnoliopsida;Lamiales;Oleaceae;Ligustrum;lucidum;;W.T.Aiton;;;Ligustrum lucidum W.T.Aiton;ACCEPTED;Viva;Exotica;2019;;;
AA0940;;348580;6284611;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Nativa;2019;;;
AA0941;;348580;6284613;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0942;;348580;6284615;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0943;;348559;6284618;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0944;;348531;6284654;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0945;;348533;6284659;Magnoliopsida;Rosales;Rosaceae;Eriobotrya;japonica;;Lindl.;;;Eriobotrya japonica (Thunb.) Lindl.;ACCEPTED;Viva;Exotica;2019;;;
AA0946;;348536;6284657;Magnoliopsida;Lamiales;Oleaceae;Ligustrum;lucidum;;W.T.Aiton;;;Ligustrum lucidum W.T.Aiton;ACCEPTED;Viva;Exotica;2019;;;
AA0947;;348537;6284654;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0948;;348541;6284657;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0949;;348549;6284655;Magnoliopsida;Rosales;Ulmaceae;Ulmus;;;L.;;;Ulmus L.;ACCEPTED;Viva;Exotica;2019;;;
