catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0959,AA0959,LivingSpecimen,348585,6284673,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,canadensis,I-214,Moench,Populus x canadensis I-214,varietas,Populus canadensis Moench,,Viva,Exótica,2019,,hermaphrodite
AA0960,AA0960,LivingSpecimen,348614,6284664,Tracheophyta,Liliopsida,Arecales,Arecaceae,Phoenix,canariensis,,H.Wildpret,,species,Phoenix canariensis H.Wildpret,,Viva,Exótica,2019,,hermaphrodite
AA0961,AA0961,LivingSpecimen,348583,6284681,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,,Viva,Exótica,2019,,hermaphrodite
AA0962,AA0962,LivingSpecimen,348611,6284698,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0963,AA0963,LivingSpecimen,348586,6284695,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0964,AA0964,LivingSpecimen,348584,6284696,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0965,AA0965,LivingSpecimen,348580,6284694,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0966,AA0966,LivingSpecimen,348580,6284696,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0967,AA0967,LivingSpecimen,348574,6284694,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0968,AA0968,LivingSpecimen,348571,6284695,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,,Viva,Exótica,2019,,hermaphrodite
AA0969,AA0969,LivingSpecimen,348564,6284694,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Koelreuteria,paniculata,,Laxm.,,species,Koelreuteria paniculata Laxm.,,Viva,Exótica,2019,,hermaphrodite
AA0970,AA0970,LivingSpecimen,348561,6284694,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Koelreuteria,paniculata,,Laxm.,,species,Koelreuteria paniculata Laxm.,,Viva,Exótica,2019,,hermaphrodite
AA0971,AA0971,LivingSpecimen,348554,6284694,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0972,AA0972,LivingSpecimen,348552,6284691,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0973,AA0973,LivingSpecimen,348552,6284687,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0974,AA0974,LivingSpecimen,348553,6284683,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,negundo,,L.,,species,Acer negundo L.,,Viva,Exótica,2019,,hermaphrodite
AA0975,AA0975,LivingSpecimen,348553,6284679,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,negundo,,L.,,species,Acer negundo L.,,Viva,Exótica,2019,,hermaphrodite
AA0976,AA0976,LivingSpecimen,348553,6284675,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Catalpa,speciosa,,Engelm.,,species,Catalpa speciosa Engelm.,,Viva,Exótica,2019,,hermaphrodite
AA0977,AA0977,LivingSpecimen,348553,6284672,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0978,AA0978,LivingSpecimen,348553,6284669,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0979,AA0979,LivingSpecimen,348554,6284665,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,melanoxylon,,R.Br.,,species,Acacia melanoxylon R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0980,AA0980,LivingSpecimen,348555,6284663,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,melanoxylon,,R.Br.,,species,Acacia melanoxylon R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0981,AA0981,LivingSpecimen,348555,6284660,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,melanoxylon,,R.Br.,,species,Acacia melanoxylon R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0982,AA0982,LivingSpecimen,348548,6284671,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,,Viva,Exótica,2019,,hermaphrodite
AA0983,AA0983,LivingSpecimen,348548,6284675,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0984,AA0984,LivingSpecimen,348547,6284679,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0985,AA0985,LivingSpecimen,348548,6284683,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0986,AA0986,LivingSpecimen,348547,6284688,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0987,AA0987,LivingSpecimen,348548,6284693,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,radiata,,D.Don,,species,Pinus radiata D.Don,,Viva,Exótica,2019,,hermaphrodite
AA0988,AA0988,LivingSpecimen,348553,6284703,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0989,AA0989,LivingSpecimen,348583,6284727,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0990,AA0990,LivingSpecimen,348581,6284730,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0991,AA0991,LivingSpecimen,348577,6284731,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0992,AA0992,LivingSpecimen,348576,6284732,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0993,AA0993,LivingSpecimen,348579,6284735,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0994,AA0994,LivingSpecimen,348552,6284707,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0995,AA0995,LivingSpecimen,348552,6284716,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0996,AA0996,LivingSpecimen,348552,6284720,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,,,L'Her.,sp.,genus,Eucalyptus  L'Her.,,Viva,Exótica,2019,,hermaphrodite
AA0997,AA0997,LivingSpecimen,348552,6284725,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0998,AA0998,LivingSpecimen,348552,6284730,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0999,AA0999,LivingSpecimen,348552,6284735,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,,Viva,Nativa,2019,,hermaphrodite
AA1000,AA1000,LivingSpecimen,348551,6284743,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,camaldulensis,,Dehnh.,,species,Eucalyptus camaldulensis Dehnh.,,Viva,Exótica,2019,,hermaphrodite
AA1001,AA1001,LivingSpecimen,348551,6284749,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA1002,AA1002,LivingSpecimen,348544,6284749,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA1003,AA1003,LivingSpecimen,348550,6284758,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA1004,AA1004,LivingSpecimen,348550,6284764,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA1005,AA1005,LivingSpecimen,348550,6284771,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,saligna,,H.L.Wendl.,,species,Acacia saligna H.L.Wendl.,,Viva,Exótica,2019,,hermaphrodite
AA1006,AA1006,LivingSpecimen,348559,6284773,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,radiata,,D.Don,,species,Pinus radiata D.Don,,Viva,Exótica,2019,,hermaphrodite
AA1007,AA1007,LivingSpecimen,348555,6284776,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,radiata,,D.Don,,species,Pinus radiata D.Don,,Viva,Exótica,2019,,hermaphrodite
AA1008,AA1008,LivingSpecimen,348552,6284778,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,radiata,,D.Don,,species,Pinus radiata D.Don,,Viva,Exótica,2019,,hermaphrodite
AA1009,AA1009,LivingSpecimen,348548,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1010,AA1010,LivingSpecimen,348547,6284785,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1011,AA1011,LivingSpecimen,348547,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1012,AA1012,LivingSpecimen,348546,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1013,AA1013,LivingSpecimen,348544,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1014,AA1014,LivingSpecimen,348543,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1015,AA1015,LivingSpecimen,348542,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1016,AA1016,LivingSpecimen,348541,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1017,AA1017,LivingSpecimen,348540,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1018,AA1018,LivingSpecimen,348539,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1019,AA1019,LivingSpecimen,348538,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1020,AA1020,LivingSpecimen,348537,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1021,AA1021,LivingSpecimen,348535,6284787,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1022,AA1022,LivingSpecimen,348534,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1023,AA1023,LivingSpecimen,348533,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1024,AA1024,LivingSpecimen,348531,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1025,AA1025,LivingSpecimen,348530,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1026,AA1026,LivingSpecimen,348529,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1027,AA1027,LivingSpecimen,348528,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1028,AA1028,LivingSpecimen,348527,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1029,AA1029,LivingSpecimen,348525,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1030,AA1030,LivingSpecimen,348524,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1031,AA1031,LivingSpecimen,348523,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1032,AA1032,LivingSpecimen,348522,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1033,AA1033,LivingSpecimen,348520,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1034,AA1034,LivingSpecimen,348519,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1035,AA1035,LivingSpecimen,348518,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1036,AA1036,LivingSpecimen,348516,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1037,AA1037,LivingSpecimen,348515,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1038,AA1038,LivingSpecimen,348514,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1039,AA1039,LivingSpecimen,348512,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1040,AA1040,LivingSpecimen,348511,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1041,AA1041,LivingSpecimen,348510,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1042,AA1042,LivingSpecimen,348508,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1043,AA1043,LivingSpecimen,348507,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1044,AA1044,LivingSpecimen,348506,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1045,AA1045,LivingSpecimen,348504,6284788,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1046,AA1046,LivingSpecimen,348503,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1047,AA1047,LivingSpecimen,348501,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1048,AA1048,LivingSpecimen,348500,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1049,AA1049,LivingSpecimen,348499,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1050,AA1050,LivingSpecimen,348498,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1051,AA1051,LivingSpecimen,348496,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1052,AA1052,LivingSpecimen,348495,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1053,AA1053,LivingSpecimen,348493,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1054,AA1054,LivingSpecimen,348492,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1055,AA1055,LivingSpecimen,348491,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1056,AA1056,LivingSpecimen,348489,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1057,AA1057,LivingSpecimen,348488,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1058,AA1058,LivingSpecimen,348486,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1059,AA1059,LivingSpecimen,348485,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1060,AA1060,LivingSpecimen,348484,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1061,AA1061,LivingSpecimen,348482,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1062,AA1062,LivingSpecimen,348481,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1063,AA1063,LivingSpecimen,348479,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1064,AA1064,LivingSpecimen,348478,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1065,AA1065,LivingSpecimen,348477,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1066,AA1066,LivingSpecimen,348476,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1067,AA1067,LivingSpecimen,348474,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1068,AA1068,LivingSpecimen,348473,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1069,AA1069,LivingSpecimen,348472,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1070,AA1070,LivingSpecimen,348470,6284789,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1071,AA1071,LivingSpecimen,348469,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1072,AA1072,LivingSpecimen,348468,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1073,AA1073,LivingSpecimen,348467,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1074,AA1074,LivingSpecimen,348466,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1075,AA1075,LivingSpecimen,348464,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1076,AA1076,LivingSpecimen,348463,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1077,AA1077,LivingSpecimen,348462,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1078,AA1078,LivingSpecimen,348461,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1079,AA1079,LivingSpecimen,348460,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1080,AA1080,LivingSpecimen,348459,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1081,AA1081,LivingSpecimen,348458,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1082,AA1082,LivingSpecimen,348457,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1083,AA1083,LivingSpecimen,348456,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1084,AA1084,LivingSpecimen,348455,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1085,AA1085,LivingSpecimen,348454,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1086,AA1086,LivingSpecimen,348453,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1087,AA1087,LivingSpecimen,348452,6284790,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,,L.,sp.,genus,Populus  L.,,Viva,Exótica,2019,,hermaphrodite
AA1088,AA1088,LivingSpecimen,348466,6284781,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,camaldulensis,,Dehnh.,,species,Eucalyptus camaldulensis Dehnh.,,Viva,Exótica,2019,,hermaphrodite
AA1089,AA1089,LivingSpecimen,348428,6284779,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,,,L'Her.,sp.,genus,Eucalyptus  L'Her.,,Viva,Exótica,2019,,hermaphrodite
